0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
11 -0.23957 0.04114 -0.64531 -0.59765 0.06359 0.22261 0.17958 0.1091 0.49097 0.08378 -0.28357 0.64545 0.54631 -0.2261 -0.27725 0.02709 -0.42363 -0.05797 -0.12943 -0.61107 -0.57726 0.03176 0.30736 0.11071 0.04843 0.41483 0.06913 0.13666 -0.68146 -0.6362 0.68586 -0.63815 -0.08296 -0.39143 -0.61762 -0.74667 0.29823 -0.7012 -0.6693 -0.44828 0.29577 0.11146 0.08075 0.31164 0.05084 0.05806 0.33503 0.47174 0.29517 -0.09078 -0.01469 0.23766 0.26091 0.06017 0.49156
12 -0.11552 0.0188 -0.14315 0.27598 0.01989 0.20241 -0.59411 -0.01847 0.7754 0.02296 -0.13952 0.05405 -0.22273 -0.12332 -0.46416 0.31554 -0.03816 -0.90929 -0.12785 -0.11304 0.26619 6e-05 0.29225 -0.66427 -0.00067 0.81911 0.00588 0.17708 -0.09538 -0.29637 -0.22341 -0.19403 -0.16414 -0.08532 0.27786 0.06097 0.19231 0.31545 -0.65743 0.26211 0.30023 -0.65063 -0.02707 0.83795 0.02049 -0.85642 0.2781 0.45708 0.25612 -0.58009 -1.07932 -0.59489 0.77128 -0.03103 0.76772
13 0.38729 0.00239 0.34704 -0.07204 0.00365 -0.11278 1.50919 -0.00137 0.30096 0.00263 0.31266 0.26983 -0.58081 0.37317 0.39316 0.81969 0.34654 0.33677 0.3957 0.34393 -0.07537 0.0061 -0.15584 1.3998 -0.00526 0.35439 -0.00648 -0.50906 0.29892 0.34222 0.97004 0.27198 0.09256 0.38298 -0.07062 0.08259 -1.28197 -0.07996 -0.37079 -0.02678 -0.12926 1.46844 -0.00782 0.27161 0.00743 1.52905 -0.11431 0.37086 -0.09974 1.4855 1.17116 1.47442 0.33906 0.0065 0.41542
14 0.06688 0.18673 0.06175 -0.51936 0.19343 -0.07014 -0.10837 0.46198 0.38639 0.02523 -0.31621 -0.20802 0.22761 -0.3192 0.17769 0.05975 -0.5766 -0.49376 -0.02014 -0.20781 -0.93372 0.0707 0.06009 -0.55802 0.09575 0.08864 0.05277 -0.57621 -0.2021 0.14608 -0.37525 -0.30357 -0.31206 -0.07309 -0.86685 -0.30859 0.0607 -1.0587 -0.86349 -0.64729 0.13907 -0.54888 0.10657 0.10768 0.0938 0.05204 0.38624 0.42946 -0.01383 -0.78548 -0.62911 -0.22246 0.02193 0.27925 0.27107
15 0.73919 0.92881 -0.64241 -0.11565 0.65509 -0.14654 0.56168 0.48815 -0.48357 0.04813 0.34757 0.67286 -0.42751 0.52236 0.62422 0.36429 0.53866 0.97285 0.86233 0.22074 -0.64168 0.22285 0.3729 0.29283 0.25547 0.31543 0.97993 0.40708 0.15456 -0.28875 0.7925 0.14678 -0.06221 -0.50151 -0.31131 0.04162 -0.03632 -0.1489 0.47917 -0.03551 0.24044 0.17335 0.12515 0.12693 0.66117 0.51247 0.08846 -0.32218 -0.04994 0.26537 0.83716 0.59557 0.08196 0.57385 -0.34667
16 -0.45625 0.09812 -0.47085 -0.09146 0.03676 0.24017 0.58509 0.07653 0.23981 0.05385 -0.5734 0.1718 0.30614 -0.45568 -0.43084 -0.34078 -0.43131 0.03995 -0.44808 -0.43929 -0.2139 0.0487 0.37815 0.44854 0.0492 0.26144 0.16327 0.33355 -0.41833 -0.53809 -0.43214 -0.44839 -0.5197 -0.5817 -0.1003 -0.31477 -0.66167 -0.14861 -0.29078 -0.13643 0.3607 0.59221 0.03999 0.25269 0.11597 0.2526 0.36795 0.28918 0.11608 0.54238 0.7384 0.5363 0.20962 0.12957 0.21536
17 0.01439 0.07669 -0.33208 -0.45879 0.05342 -0.22876 0.21264 0.06303 0.47098 0.0477 -0.13645 -0.0605 -0.19892 -0.08899 0.4785 -0.20293 -0.02787 -0.32281 -0.03593 -0.37266 -0.62529 0.02002 -0.13851 0.0282 0.01446 0.39733 0.10151 -0.2983 -0.40741 -0.13188 -0.06326 -0.37766 -0.37963 -0.39751 -0.61725 -0.26095 -0.38712 -0.60066 -1.05027 -0.64969 -0.17205 0.08661 0.0065 0.36882 0.0933 0.36424 -0.12011 0.20094 -0.15623 0.13462 -0.04578 0.11352 0.33923 0.11156 0.38826
18 -0.07999 0.0158 0.05315 -0.51511 0.00296 0.16266 0.07241 0.14683 0.41301 0.15437 -0.07804 -0.05726 0.39211 -0.08985 -0.01197 0.30299 0.01586 -0.22373 -0.1568 0.01131 -0.59031 0.00544 0.13346 0.05883 0.10796 0.35744 0.20416 -0.44175 0.04446 0.074 0.20907 0.12915 0.27144 0.32432 -0.53895 -0.32583 0.70495 -0.41121 -0.73499 -0.27074 0.13784 0.04912 0.10135 0.43617 0.14868 0.11697 0.14821 0.57173 0.23312 -0.18498 0.14921 -0.13753 0.57007 0.25918 0.62981
19 -0.33916 0.04158 -0.04498 0.41091 0.01929 -0.05435 -0.2631 -0.00614 -0.46971 0.03126 -0.43751 -0.21656 0.09973 -0.41811 -0.27587 0.21237 -0.38323 0.19161 -0.30971 0.01842 0.37236 0.01434 -0.01314 -0.40201 0.03118 -0.39523 0.07009 0.56388 -0.00414 -0.09285 -0.11732 -0.05731 -0.36051 -0.01993 0.40681 0.37575 0.08872 0.35554 0.62888 0.36858 -0.0424 -0.30557 0.00307 -0.39646 0.08198 -0.18328 -0.05521 -0.35635 -0.00505 -0.25225 0.32569 -0.28427 -0.46363 0.02567 -0.41251
20 0.25974 0.03639 -0.09518 -0.15218 0.00797 -0.03314 0.89123 -0.01975 -0.1929 0.02303 0.23237 0.02229 -0.11539 0.20896 0.176 0.13121 0.31006 -0.20484 0.2775 -0.10114 -0.27589 0.00801 -0.02574 0.83296 0.00089 -0.24663 0.06511 -0.00814 -0.06175 -0.15994 0.40219 -0.07645 -0.21055 -0.00453 -0.27421 0.09596 -0.49952 -0.1359 0.21698 -0.05031 -0.04216 0.78755 0.00902 -0.21197 0.04869 0.71805 -0.05841 -0.02741 0.02518 0.7957 -0.64317 0.84021 -0.15873 -0.0124 -0.17563
