"AAL1","AAL2","AAL3","AAL4","AAL5","AAL6","AAL7","AAL8","AAL9","AAL10","AAL11","AAL12","AAL13","AAL14","AAL15","AAL16","AAL17","AAL18","AAL19","AAL20","AAL21","AAL22","AAL23","AAL24","AAL25","AAL26","AAL27","AAL28","AAL29","AAL30","AAL31","AAL32","AAL33","AAL34","AAL35","AAL36","AAL37","AAL38","AAL39","AAL40","AAL41","AAL42","AAL43","AAL44","AAL45","AAL46","AAL47","AAL48","AAL49","AAL50","AAL51","AAL52","AAL53","AAL54","AAL55","AAL56","AAL57","AAL58","AAL59","AAL60","AAL61","AAL62","AAL63","AAL64","AAL65","AAL66","AAL67","AAL68","AAL69","AAL70","AAL71","AAL72","AAL73","AAL74","AAL75","AAL76","AAL77","AAL78","AAL79","AAL80","AAL81","AAL82","AAL83","AAL84","AAL85","AAL86","AAL87","AAL88","AAL89","AAL90","AAL91","AAL92","AAL93","AAL94","AAL95","AAL96","AAL97","AAL98","AAL99","AAL100","AAL101","AAL102","AAL103","AAL104","AAL105","AAL106","AAL107","AAL108","AAL109","AAL110","AAL111","AAL112","AAL113","AAL114","AAL115","AAL116","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162"
-0.0174999999999998,-0.0142,-0.0158,-0.02,-0.0353000000000001,-0.0170999999999999,-0.0387,-0.0249000000000001,-0.0183,-0.0361,0.00180000000000002,0.00100000000000011,0.00679999999999992,-0.00169999999999981,0.00330000000000008,-0.0121,-0.0302,0.0311000000000001,-0.0156999999999998,-0.0148999999999999,-0.03635,-0.01056,-0.0144,-0.0193000000000001,-0.0323,-0.0225,-0.0338999999999998,-0.0145,-0.00270000000000015,-0.0141,-0.0171000000000001,-0.01125,-0.0115000000000001,-0.0118,-0.0124,0.00236999999999998,0.0535100000000001,0.00645000000000007,0.03671,0.01423,0.06043,0.0647800000000001,-0.0246999999999999,-0.0309999999999999,-0.0633000000000001,-0.0187000000000002,0.000799999999999912,-0.0332999999999999,-0.0568,-0.0195000000000001,0.00380000000000003,-0.0195000000000001,0.01,-0.0206999999999999,0.0195000000000001,-0.0156999999999998,-0.0081,-0.0174999999999998,-0.0128999999999999,-0.00999999999999979,0.00150000000000006,-0.0143,0.00639999999999996,0.0197000000000001,-0.0261,-0.0303,-0.00860000000000016,0.00120000000000009,-0.0142,-0.0136000000000001,-0.0433,-0.02973,-0.0286999999999999,-0.00299999999999989,-0.00858000000000003,-0.0318000000000001,-0.00341999999999998,0.00600000000000001,-0.0389999999999999,-0.00419999999999998,-0.0226,-0.00209999999999999,-0.00443000000000005,0.04179,-0.0111000000000001,-0.00590000000000002,-0.0171199999999999,0.04596,-0.00226000000000004,-0.0201,0.0304,0.0281,0.0903,0.0587099999999999,-0.00336000000000003,0.01888,0.00383,-0.0187999999999999,0.0206999999999999,-0.0261,0.0653000000000001,0.0698999999999999,0.0607,0.0680000000000001,0.0143,0.0498900000000001,0.04327,0.03254,-0.03629,-0.01772,-0.00569999999999982,-0.0102,0.0442,0.0518000000000001,0.0253000000000001,0.00692999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0185999999999999,-0.0318000000000001,-0.00629999999999997,-0.0154000000000001,-0.000700000000000145,0.00889999999999991,-0.00519999999999987,-0.0171999999999999,-0.0167000000000002,0.0028999999999999,-0.00880000000000014,0.0103,0.00939999999999985,0.0254999999999999,-0.0152999999999999,0.00869999999999993,-0.0261,-0.0124,-0.00580999999999998,-0.00714000000000004,-0.02207,-0.00121000000000004,-0.00159999999999993,0.0194999999999999,0.0089999999999999,0.0147999999999999,-0.00640000000000018,-0.00139999999999985,-0.0258,-0.0388999999999999,-0.0331199999999999,-0.01488,-0.01435,-0.00616000000000005,0.0185000000000002,-0.00122999999999995,0.000979999999999981,-0.01093,-0.00219000000000003,-0.00864999999999994,-0.02152,-0.01268,0.0452999999999999,0.0576000000000001,-0.0153000000000001,-0.0234999999999999,0.00640000000000018,0.0476999999999999,-0.00269999999999992,-0.0105,0.0337000000000001,-0.00319999999999987,0.0530999999999999,-0.00170000000000003,0.00180000000000002,-0.018,-0.0284,-0.0257000000000001,-0.00380000000000003,-0.004,-0.00540000000000007,-0.00209999999999999,-0.0209000000000001,0.0081,0.0123,0.0217000000000001,0.0265,0.00919999999999987,-0.0125,-0.00249999999999995,-0.01142,-0.0211600000000001,-0.00800000000000001,-0.0318000000000001,-0.02816,-0.0252999999999999,-0.00796999999999992,-0.01003,-0.02254,-0.0278,0.00159999999999982,-0.00259999999999994,-0.03775,-0.0158700000000001,0.0135000000000001,-0.00590000000000002,-0.0291600000000001,0.0192600000000001,0.0193000000000001,0.00129999999999986,0.0315000000000001,0.02415,0.0482,0.0540200000000001,0.00551000000000001,0.02073,-0.01385,-0.01396,-0.0113000000000001,-0.0236000000000001,0.04648,0.0687,0.0226999999999999,0.0279999999999998,0.03234,0.00303999999999993,0.0197400000000001,-0.05719,-0.00246000000000002,0.03365,0.02373,0.00409999999999999,0.02366,0.0570999999999999,-0.0022000000000002,-0.00455000000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0233000000000001,-0.004,-0.00409999999999999,-0.0031000000000001,0.0377999999999998,0.0246000000000002,0.00760000000000005,-0.0157,0.0315000000000001,0.00880000000000014,0.00740000000000007,0.000299999999999967,-0.00300000000000011,0.00819999999999999,0.00759999999999983,0.000900000000000123,0.00540000000000007,-0.0142,0.00209999999999999,-0.00590000000000002,-0.01624,-0.01611,-0.0119,-0.00540000000000007,-0.0218,-0.0232000000000001,0.0310999999999999,0.0326,-0.016,9.9999999999989e-05,-0.0339999999999998,-0.0228400000000001,-0.0146999999999999,0.00690000000000013,0.00659999999999994,0.00438000000000005,-0.00582000000000005,-0.00105,0.02632,0.00668000000000002,-0.03818,-0.0424,0.0283,0.0553000000000001,0.0538000000000001,0.0404,0.0244,0.0618999999999998,0.0368999999999999,0.0255000000000001,0.0287999999999999,0.0402,0.0557000000000001,0.04,0.0294000000000001,0.0290999999999999,-0.0145,0.000499999999999945,-0.00939999999999985,0.01,0.00960000000000005,0.0108999999999999,-0.0107000000000002,-0.000699999999999923,-0.00490000000000013,0.0183,0.0118,0.0132000000000001,-0.0273000000000001,-0.0358000000000001,0.0129199999999999,0.0200899999999999,-0.0358000000000001,-0.0191999999999999,-0.04328,-0.0309999999999999,-0.0495100000000001,0.0284,-0.00900000000000012,0.0231999999999999,-0.0253000000000001,0.00320000000000009,-0.00544,0.00424999999999998,-0.0106999999999999,0.0157,0.0122100000000001,0.0221,0.0142,0.0232999999999999,-0.00910000000000011,-0.00553999999999999,-0.0293999999999999,-0.01472,-0.0488,-0.04884,-0.02044,-0.00897999999999999,-0.00769999999999982,0.0185999999999999,-0.00819999999999999,-0.0171999999999999,-0.000299999999999967,-0.0153999999999999,0.00539000000000001,0.0129,-0.0409499999999999,-0.0103500000000001,-0.06662,-0.06346,-0.0663499999999999,-0.01189,-0.0277000000000001,0.0132999999999999,0.0264,-0.01247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00629999999999997,-0.0227000000000002,0.0143,0.0110000000000001,0.0588,0.0442,0.0125999999999999,-0.0144,0.0470999999999999,0.00609999999999999,0.0114999999999998,-0.0113999999999999,0.0297999999999998,-0.0145,0.0616999999999999,-0.00860000000000016,0.00649999999999995,0.00479999999999992,0.0361,0.0163,0.0418499999999999,0.0347000000000001,0.0113000000000001,0.0315000000000001,0.0274000000000001,0.056,0.0595999999999999,0.0683,0.0309000000000001,-0.00170000000000003,0.000799999999999912,0.01959,-0.0171000000000001,-0.03209,-0.0327,-0.03735,0.02345,-0.00965000000000005,0.01079,0.00115999999999994,0.03476,-0.01342,-0.0282,-0.0369999999999999,-0.0471000000000001,-0.0721000000000001,-0.000299999999999967,-0.0348999999999999,-0.0448000000000002,-0.0752000000000002,-0.0338000000000001,-0.0626,0.00229999999999997,-0.0250999999999999,0.00710000000000011,0.00570000000000004,-0.00280000000000014,-0.0278999999999998,-0.0188999999999999,-0.0405000000000002,-0.00499999999999989,-0.0287999999999999,0.00570000000000004,-0.0442,-0.00629999999999997,-0.0394999999999999,-0.00990000000000002,-0.0369999999999999,0.0287999999999999,-0.00539999999999996,0.0633600000000001,0.01908,0.0439000000000001,0.0122,0.00985999999999998,-0.0112999999999999,0.0295000000000001,-0.0111999999999999,-0.0069999999999999,-0.022,-0.00749999999999984,-0.00380000000000003,0.02041,0.02094,0.0310000000000001,-0.0211999999999999,0.0313100000000001,0.0216000000000001,0.0385,0.0171999999999999,0.00146999999999997,0.00738000000000005,0.0114000000000001,0.01245,0.00782000000000005,-0.0061699999999999,0.00453000000000003,-0.0172,-0.00312999999999997,0.00120000000000009,0.00380000000000003,0.00990000000000002,0.0171699999999999,0.0277000000000001,0.0103000000000001,0.0571999999999999,-0.02705,-0.01658,0.0242,0.0196799999999999,-0.00941000000000003,0.00392000000000003,0.03465,0.0270000000000001,0.04262,0.0309700000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0244,0.0427999999999999,0.00299999999999989,0.00750000000000006,-0.0266,-0.00819999999999999,-0.0311999999999999,0.0205,-0.0628,0.0105,-0.0639000000000001,0.0250999999999999,-0.0577000000000001,0.0393999999999999,-0.0143,0.0339,-0.0163,0.0306999999999999,0.0124,0.0112999999999999,-0.0355000000000001,0.0204699999999999,0.012,-0.00099999999999989,0.00249999999999995,-0.00819999999999999,0.0168000000000001,-0.00449999999999995,-0.0108999999999999,0.0382,-0.0188999999999999,-0.01702,-0.0336999999999998,-0.0186999999999999,-0.0569,-0.00707000000000002,-0.03651,0.06353,-0.04223,0.03054,-0.05233,0.0444199999999999,0.0681,0.01989,0.0327,0.016,0.0423,0.0187000000000002,0.0265,0.028,0.00520000000000009,0.0375000000000001,-0.0102,0.0343,-0.00669999999999993,0.0108999999999999,-0.0137,0.0417999999999998,0.000899999999999901,0.0375000000000001,-0.0401,0.0175999999999998,-0.0479000000000001,0.00470000000000015,-0.0248999999999999,0.00609999999999999,-0.0247999999999999,-0.0187000000000002,-0.000199999999999978,0.0121,-0.02544,0.0243300000000001,-0.0525,0.0108999999999999,-0.06208,0.0588,-0.0474000000000001,0.018,0.014,0.1068,0.0206,0.0461,0.0228499999999999,0.0269999999999999,-0.00340000000000007,0.0221,-0.0162399999999999,0.00661999999999996,-0.0185,0.0134000000000001,-0.0312999999999999,0.000990000000000046,-0.0450999999999999,-0.00722,-0.0156999999999999,0.0103000000000001,-0.0303,0.0107999999999999,-0.0122,0.0105,-0.03447,0.002,-0.0268999999999999,0.00370000000000004,0.00291999999999992,0.00725999999999993,0.0162,0.0576100000000001,-0.0553,-0.04296,-0.00358999999999998,-0.0169899999999999,-0.00570000000000004,0.00800000000000001,-0.00479999999999992,-0.02325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0310999999999999,-0.0436000000000001,-0.0118,-0.0347999999999999,-0.0196999999999998,-0.0151000000000001,-0.0355999999999999,-0.0235999999999998,0.0176999999999998,-0.0395000000000001,-0.0148999999999999,-0.0297000000000001,-0.00370000000000004,-0.0206,0.0145000000000002,0.03,0.00839999999999996,-0.0297000000000001,-0.0165999999999999,-0.0233000000000001,0.03731,0.00540000000000007,0.0210999999999999,-0.0308999999999999,-0.0217000000000001,-0.0307999999999999,-0.0379,-0.0239,0.0164,-0.00700000000000012,0.00300000000000011,-0.02521,-0.0499000000000001,-0.0359,-0.1154,-0.05567,0.08129,0.06014,0.07546,0.0486,0.0649500000000001,0.0826899999999999,-0.0518000000000001,-0.054,-0.1043,-0.1052,-0.0246999999999999,-0.0572000000000001,-0.0831,-0.1056,-0.099,-0.0874999999999999,-0.1043,-0.0957000000000001,-0.056,-0.0569000000000002,-0.0105000000000002,-0.0333999999999999,-0.0727,-0.0189999999999999,-0.0497999999999998,-0.0124,0.0206,-0.0356999999999998,-0.0489999999999999,-0.0695999999999999,-0.1027,-0.0587,-0.0263,-0.0563,0.09451,0.0552900000000001,-0.00390000000000001,-0.0272999999999999,0.06901,0.00670000000000015,0.1386,0.10361,0.00780000000000003,-0.0562,0.0347000000000002,-0.0511999999999999,0.07884,0.05409,-0.0214000000000001,-0.0629,-0.00322999999999996,-0.0186299999999999,-0.0505,-0.0744,0.0243,0.0387,0.0703400000000001,0.07156,0.08251,0.0391100000000001,0.071,0.0196000000000001,0.0126999999999999,-0.0176000000000001,0.0511299999999999,0.0602500000000001,0.0239900000000001,0.02398,0.0113800000000001,0.0194299999999999,0.0484599999999999,0.01345,0.00497000000000003,0.0829799999999999,0.06675,0.12668,0.0948100000000001,0.0188999999999999,0.00839999999999996,0.0351400000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0162,0.0251999999999999,-0.0002000000000002,0.0313000000000001,0.0303,0.000700000000000145,-0.0210000000000001,0.0199,-0.0111000000000001,0.00519999999999987,-0.0328999999999999,0.0292000000000001,-0.0154999999999998,0.0314000000000001,0.00760000000000005,0.00620000000000021,-0.0319,0.0192999999999999,0.04538,0.0307999999999999,0.0457000000000001,0.00479999999999992,0.0261800000000001,0.0383,0.0268999999999999,0.0308999999999999,0.0328999999999999,0.00360000000000005,-0.0258999999999998,0.00790000000000002,0.00629999999999997,0.03568,0.0116000000000001,0.0510999999999999,-0.0319,0.0202899999999999,0.02921,0.000670000000000059,0.04086,0.00853000000000004,0.0720599999999999,0.00123999999999991,-0.0231999999999999,0.00300000000000011,0.00619999999999998,-0.0113999999999999,-0.0122,0.0401,0.00690000000000013,-0.0417999999999998,-0.0196000000000001,-0.00449999999999995,-0.0165999999999999,-0.0224,0.00670000000000015,0.00700000000000012,-0.00260000000000016,0.0165,0.00159999999999982,-0.0165,0.0133999999999999,0.0138,-0.00559999999999983,0.0370999999999999,0.0219,0.0324,-0.00739999999999985,-0.002,0.00190000000000001,0.0253000000000001,-0.000920000000000032,-0.01683,-0.0286,-0.0185000000000002,0.0189999999999999,0.0185000000000002,-0.0336000000000001,0.0195000000000001,-0.0204,-0.0124,-0.0111999999999999,0.0143,-0.00634999999999997,0.01952,0.00449999999999995,0.00279999999999991,-0.0105500000000001,0.02216,0.0178,-0.000199999999999978,-0.0618000000000001,-0.06081,-0.0529999999999999,-0.03693,0.01962,-0.0207900000000001,-0.03488,-0.0201,-0.0635999999999999,-0.0546,-0.02491,-0.0252999999999999,-0.0287399999999999,-0.0111000000000001,-0.0304,-0.00268000000000002,-0.00951000000000002,-0.04421,0.00930000000000009,-0.00483999999999996,-0.0264899999999999,-0.02868,-0.0982000000000001,-0.0393999999999999,-0.0614999999999999,-0.04437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0169999999999999,0.0916899999999999,-0.00639999999999996,0.0562,0.0136999999999998,0.0153000000000001,-0.0130000000000001,0.0725,-0.0161,0.0421,-0.0387,0.0770999999999999,-0.0409000000000002,0.0853999999999999,-0.0527,0.0443,-0.0415000000000001,0.0736999999999999,-0.00779999999999981,0.0305000000000002,-0.00356000000000001,-0.0157,-0.00570000000000004,0.0248999999999999,0.0208000000000002,0.00559999999999983,0.014,0.000400000000000178,-0.0306999999999999,0.0211999999999999,-0.0266999999999999,-0.0467000000000001,0.0254000000000001,0.0178,0.0233000000000001,-0.0329,-0.0302,-0.0263599999999999,-0.02544,-0.01505,-0.0297199999999999,-0.04135,0.0463,0.0382,0.0534999999999999,0.0539000000000001,-0.0264,0.00900000000000012,0.054,0.0295000000000001,0.0541,0.0533999999999999,0.0143,0.0498000000000001,0.00449999999999995,-0.00770000000000004,0.00800000000000001,0.0717199999999999,0.000599999999999934,0.0530399999999999,0.0355000000000001,0.1641,-0.0355000000000001,0.13627,0.0372999999999999,0.155,0.0318000000000001,0.0446,-0.0123,0.0449999999999999,-0.06567,-0.00370000000000004,0.00839999999999996,0.0209999999999999,-0.0289999999999999,0.0311000000000001,-0.0236000000000001,0.00570000000000004,-0.0313999999999999,0.0609,-0.0687,0.0674999999999999,-0.0722700000000001,-0.00584000000000007,-0.0512000000000001,0.0981000000000001,-0.0648,0.00609999999999999,-0.0531000000000001,0.0408999999999999,-0.0505,-0.0374000000000001,-0.0606000000000002,-0.03461,-0.06012,-0.02588,-0.07995,-0.0384,-0.073,-0.044,-0.0594000000000001,-0.0298,-0.0438000000000001,-0.0365,-0.0518000000000001,-0.0425,0.05347,0.04622,-0.04809,-0.06291,-0.0999,-0.14381,-0.1123,-0.0695000000000001,-0.0611999999999999,-0.04122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0786,-0.0239,-0.0704,0.0121,0.0081,0.0163000000000002,-0.0747,0.00949999999999984,-0.0524,0.0133000000000001,-0.0643,0.00909999999999989,-0.0456000000000001,0.0503,-0.0227999999999999,0.0181,-0.0418999999999998,0.0325,0.0284,0.0115000000000001,0.0243,0.00260000000000016,-0.0230000000000001,0.0108000000000001,-0.0121,-0.0306000000000002,0.0413999999999999,0.0226999999999999,-0.0202,0.0229999999999999,0.00279999999999991,-0.0174999999999998,-0.0283,-0.0432299999999999,-0.00760000000000005,-0.00739000000000001,-0.02891,0.0315800000000001,-0.03678,0.0200899999999999,-0.04491,-0.01403,0.1162,0.0801999999999998,0.0680999999999998,0.0526,0.0827,0.0826,0.0720000000000001,0.0676999999999999,0.0150000000000001,0.0141,0.0315999999999999,0.0193000000000001,-0.00530000000000008,0.0385,-0.0791999999999999,-0.0182,-0.0235999999999998,0.0206999999999999,-0.0847,-0.0463,-0.0833000000000002,0.0375999999999999,-0.0900999999999998,-0.0264,-0.0119,-0.00619999999999998,-0.02971,-0.06212,0.0135299999999999,-0.01653,-0.0103,-0.0185,0.01493,-0.00590000000000002,-0.02767,-0.00781999999999994,-0.0309999999999999,0.0276000000000001,-0.0606,0.0247999999999999,-0.00622,0.07112,-0.0671999999999999,0.0309000000000001,0.01254,0.0467,-0.0262,0.0652999999999999,0.0211000000000001,0.02896,0.00470999999999999,0.00833000000000006,-0.01979,-0.00547999999999993,0.00653999999999999,0.0246999999999999,0.0379,0.0590999999999999,-0.02223,0.00160000000000005,-0.01703,0.0250699999999999,-0.03544,0.00622,-0.0159900000000001,0.03913,-0.0385500000000001,-0.0397,0.03666,0.06099,0.08204,0.0363,0.0166200000000001,0.00226999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0246,0.0867,-0.0258,-0.012,-0.0207999999999999,-0.0225,-0.00459999999999994,0.0515000000000001,0.0151000000000001,0.0693000000000001,0.0258999999999998,0.0629999999999999,0.0406,0.1033,-0.0248000000000002,0.0702,-0.0168000000000001,0.00780000000000003,-0.0344,0.000600000000000156,-0.0703,-0.0514000000000001,-0.0677999999999999,-0.0212999999999999,-0.0253000000000001,-0.0235000000000001,-0.0404,-0.0519000000000001,-0.0358000000000001,0.0101,-0.0631999999999999,-0.0548,-0.0186999999999999,-0.0115000000000001,-0.00319999999999987,-0.04275,-0.08221,-0.0126499999999999,-0.10322,-0.0686600000000001,-0.07763,0.02998,0.0109999999999999,0.00670000000000015,-0.0103,0.0226999999999999,-0.0153000000000001,-0.00929999999999986,0.00319999999999987,0.0820000000000001,-0.0192999999999999,0.0795999999999999,-0.0262,0.0750999999999999,-0.0831,-0.0242,0.0357000000000001,0.108,0.0314999999999999,0.0770700000000001,0.00990000000000002,0.0732999999999999,-0.0327999999999999,0.0690000000000002,0.00590000000000002,0.0694999999999999,-0.0213000000000001,0.0205,0.0118,0.0415999999999999,-0.08865,-0.04361,-0.0410999999999999,0.00649999999999995,-0.04356,0.0466,-0.07387,-0.0641,-0.0072000000000001,0.0181,-0.0264000000000002,0.0498000000000001,-0.0494999999999999,-0.00551999999999997,-0.0453999999999999,0.0709,-0.04009,0.0196000000000001,-0.0361,0.0308999999999999,0.02,0.06047,0.0291899999999999,0.05638,-0.0180699999999999,-0.09557,-0.0433699999999999,-0.06182,0.0170999999999999,0.0434000000000001,0.01373,0.00780000000000003,0.0168499999999999,0.0578099999999999,-0.00220999999999993,0.02655,-0.0195000000000001,0.01472,-0.03013,-0.0936600000000001,-0.06677,0.05542,0.09135,0.0671000000000002,-0.00153999999999999,0.0176299999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
